name,slug
"Representative Brademas, John",john-brademas/B000736
"Senator Bradley, Bill",william-bradley/B001225
"Representative Bradley, Jeb",jeb-bradley/B001246
"Representative Brady, Kevin",kevin-brady/B000755
"Senator Brady, Nicholas",nicholas-brady/B000756
"Representative Brady, Robert A.",robert-brady/B001227
"Representative Braley, Bruce L.",bruce-braley/B001259
"Representative Brasco, Frank",frank-brasco/B000771
"Representative Brat, Dave",dave-brat/B001290
"Senator Braun, Mike ",mike-braun/B001310
"Representative Bray, William G.",william-bray/B000778
"Senator Breaux, John B.",john-breaux/B000780
"Representative Breckinridge, John B.",john-breckinridge/B000788
"Representative Brennan, Joseph E.",joseph-brennan/B000798
"Representative Brewster, Bill K.",bill-brewster/B000817
"Representative Bridenstine, Jim",jim-bridenstine/B001283
"Representative Bright, Bobby",bobby-bright/B001264
"Representative Brindisi, Anthony",anthony-brindisi/B001308
"Representative Brinkley, Jack",jack-brinkley/B000839
"Representative Britt, Robin",robin-britt/B000845
"Senator Brock, Bill",william-brock/B000851
"Representative Brodhead, William",william-brodhead/B000862
"Senator Brooke, Edward W.",edward-brooke/B000871
"Representative Brooks, Jack B.",jack-brooks/B000880
"Representative Brooks, Mo",mo-brooks/B001274
"Representative Brooks, Susan W.",susan-brooks/B001284
"Representative Broomfield, William S.",william-broomfield/B000890
"Representative Brotzman, Donald G.",donald-brotzman/B000893
"Representative Broun, Paul C.",paul-broun/B001262
"Representative Browder, Glen",glen-browder/B000897
"Representative Brown, Anthony G.",anthony-brown/B001304
"Representative Brown, Clarence, Jr.",clarence-brown/B000910
"Representative Brown, Corrine",corrine-brown/B000911
"Representative Brown, Garry E.",garry-brown/B000917
"Representative Brown, George E., Jr.",george-brown/B000918
"Senator Brown, Hank",george-brown/B000919
"Representative Brown, Henry E., Jr.",henry-brown/B001235
"Senator Brown, Scott P.",scott-brown/B001268
"Senator Brown, Sherrod",sherrod-brown/B000944
"Representative Brown-Waite, Ginny",ginny-brown-waite/B001247
"Senator Brownback, Sam",sam-brownback/B000953
"Representative Brownley, Julia",julia-brownley/B001285
"Senator Broyhill, James T.",james-broyhill/B000966
"Representative Broyhill, Joel T.",joel-broyhill/B000967
"Representative Bruce, Terry L.",terry-bruce/B000971
"Senator Bryan, Richard H.",richard-bryan/B000993
"Representative Bryant, Ed",ed-bryant/B000996
"Representative Bryant, John W.",john-bryant/B000997
"Representative Buchanan, John",john-buchanan/B001008
"Representative Buchanan, Vern",vern-buchanan/B001260
"Representative Buck, Ken",ken-buck/B001297
"Senator Buckley, James L.",james-buckley/B001026
"Representative Bucshon, Larry",larry-bucshon/B001275
"Representative Budd, Ted",ted-budd/B001305
"Representative Buechner, Jack",jack-buechner/B001036
"Representative Buerkle, Ann Marie",ann-buerkle/B001276
"Senator Bumpers, Dale",dale-bumpers/B001057
"Representative Bunn, Jim",jim-bunn/B001063
"Senator Bunning, Jim",jim-bunning/B001066
"Representative Burchett, Tim",tim-burchett/B001309
"Senator Burdick, Joycelyn",joycelyn-burdick/B001076
"Senator Burdick, Quentin N.",quentin-burdick/B001077
"Representative Burgener, Clair W.",clair-burgener/B001080
"Representative Burgess, Michael C.",michael-burgess/B001248
"Representative Burke, J. Herbert",j-burke/B001091
"Representative Burke, James A.",james-burke/B001092
"Representative Burke, Yvonne B.",yvonne-burke/B001102
"Representative Burleson, Omar",omar-burleson/B001111
"Representative Burlison, Bill D.",bill-burlison/B001113
"Senator Burns, Conrad R.",conrad-burns/B001126
"Representative Burns, Max",max-burns/B001249
"Senator Burr, Richard",richard-burr/B001135
"Senator Burris, Roland",roland-burris/B001266
"Representative Burton, Dan",dan-burton/B001149
"Representative Burton, John",john-burton/B001153
"Representative Burton, Phillip",phillip-burton/B001156
"Representative Burton, Sala",sala-burton/B001158
"Representative Bustamante, Albert G.",albert-bustamante/B001172
"Representative Bustos, Cheri",cheri-bustos/B001286
"Representative Butler, M. Caldwell",m-butler/B001182
"Representative Butterfield, G. K.",g-k-butterfield/B001251
"Representative Buyer, Steve",stephen-buyer/B001203
"Senator Byrd, Harry F.,  Jr.",harry-byrd/B001209
"Senator Byrd, Robert C.",robert-byrd/B001210
"Representative Byrne, Bradley",bradley-byrne/B001289
"Representative Byrne, Leslie L.",leslie-byrne/B001213
"Representative Byron, Beverly B.",beverly-byron/B001220
"Representative Byron, Goodloe E.",goodloe-byron/B001221
"Representative Callahan, Sonny",h-callahan/C000052
"Representative Calvert, Ken",ken-calvert/C000059
"Representative Camp, Dave",dave-camp/C000071
"Representative Camp, John N. Happy",john-camp/C000073
"Senator Campbell, Ben Nighthorse",ben-campbell/C000077
"Representative Campbell, Carroll A., Jr.",carroll-campbell/C000079
"Representative Campbell, John",john-campbell/C001064
"Representative Campbell, Tom",tom-campbell/C000100
"Representative Canady, Charles T.",charles-canady/C000107
"Representative Cannon, Chris",chris-cannon/C000116
"Senator Cannon, Howard W.",howard-cannon/C000120
"Representative Canseco, Francisco ""Quico""",francisco-canseco/C001082
"Representative Cantor, Eric",eric-cantor/C001046
"Senator Cantwell, Maria",maria-cantwell/C000127
"Representative Cao, Anh ""Joseph""",anh-cao/C001079
"Senator Capito, Shelley Moore",shelley-capito/C001047
"Representative Capps, Lois",lois-capps/C001036
"Representative Capps, Walter",walter-capps/C000134
"Representative Capuano, Michael E.",michael-capuano/C001037
"Representative Caputo, Bruce F.",bruce-caputo/C000137
"Representative Carbajal, Salud O.",salud-carbajal/C001112
"Representative Cardenas, Tony",tony-cardenas/C001097
"Senator Cardin, Benjamin L.",benjamin-cardin/C000141
"Representative Cardoza, Dennis A.",dennis-cardoza/C001050
"Representative Carey, Hugh L.",hugh-carey/C000143
"Representative Carman, Gregory W.",gregory-carman/C000158
"Senator Carnahan, Jean",jean-carnahan/C001043
"Representative Carnahan, Russ",russ-carnahan/C001060
"Representative Carney, Charles J.",charles-carney/C000164
"Representative Carney, Christopher P.",christopher-carney/C001065
"Representative Carney, John C., Jr.",john-carney/C001083
"Representative Carney, William",william-carney/C000165
"Senator Carper, Thomas R.",thomas-carper/C000174
"Representative Carr, Bob",bob-carr/C000178
"Representative Carson, Andre",andre-carson/C001072
"Representative Carson, Brad",brad-carson/C001044
"Representative Carson, Julia",julia-carson/C000191
"Representative Carter, Earl L. ""Buddy""",earl-carter/C001103
"Representative Carter, John R.",john-carter/C001051
"Representative Carter, Tim Lee",tim-carter/C000201
"Representative Cartwright, Matt",matt-cartwright/C001090
"Senator Case, Clifford P.",clifford-case/C000220
"Representative Case, Ed",ed-case/C001055
"Representative Casey, Bob",robert-casey/C000228
"Senator Casey, Robert P., Jr.",bob-casey/C001070
"Senator Cassidy, Bill",bill-cassidy/C001075
"Representative Casten, Sean",sean-casten/C001117
"Representative Castle, Michael N.",michael-castle/C000243
"Representative Castor, Kathy",kathy-castor/C001066
"Representative Castro, Joaquin",joaquin-castro/C001091
