name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Baird, Brian",brian-baird/B001229,Brian Baird,1956,Democratic,not current,"1,910"
"Representative Baird, James R.",james-baird/B001307,James R. Baird,1945,Republican,current,216
"Representative Baker, Bill",bill-baker/B000078,Bill Baker,1940,Republican,not current,558
"Senator Baker, Howard H., Jr.",howard-baker/B000063,Howard H. Baker Jr.,1925,Republican,not current,"1,018"
"Representative Baker, LaMar",lamar-baker/B000069,LaMar Baker,1915,Republican,not current,164
"Representative Baker, Richard H.",richard-baker/B000072,Richard H. Baker,1948,Republican,not current,"2,848"
"Representative Baldacci, John Elias",john-baldacci/B000081,John Elias Baldacci,1955,Democratic,not current,"1,371"
"Representative Balderson, Troy",troy-balderson/B001306,Troy Balderson,1962,Republican,current,361
"Representative Baldus, Alvin J.",alvin-baldus/B000083,Alvin J. Baldus,1926,Democratic,not current,510
"Senator Baldwin, Tammy",tammy-baldwin/B001230,Tammy Baldwin,1962,Democratic,current,"5,761"
"Representative Ballance, Frank W.,  Jr.",frank-ballance/B001238,Frank W. Ballance Jr.,1942,Democratic,not current,216
"Representative Ballenger, Cass",cass-ballenger/B000104,Cass Ballenger,1926,Republican,not current,"2,345"
"Representative Banks, Jim",jim-banks/B001299,Jim Banks,1979,Republican,current,664
"Representative Barber, Ron",ron-barber/B001279,Ron Barber,1945,Democratic,not current,313
"Representative Barca, Peter",peter-barca/B001226,Peter Barca,1955,Democratic,not current,201
"Representative Barcia, James A.",james-barcia/B000134,James A. Barcia,1952,Democratic,not current,"1,215"
"Senator Barkley, Dean M.",dean-barkley/B001237,Dean M. Barkley,1950,Independent,not current,3
"Representative Barletta, Lou",lou-barletta/B001269,Lou Barletta,1956,Republican,not current,"1,134"
"Representative Barlow, Tom",tom-barlow/B000151,Tom Barlow,1940,Democratic,not current,235
"Representative Barnard, Doug, Jr.",doug-barnard/B000153,Doug Barnard Jr.,1922,Democratic,not current,"2,258"
"Representative Barnes, Michael D.",michael-barnes/B000160,Michael D. Barnes,1943,Democratic,not current,"1,963"
"Representative Barr, Andy",andy-barr/B001282,Andy Barr,1973,Republican,current,"1,112"
"Representative Barr, Bob",bob-barr/B000169,Bob Barr,1948,Republican,not current,967
"Representative Barragan, Nanette Diaz",nanette-barragan/B001300,Nanette Diaz Barragan,1976,Democratic,current,"1,077"
"Senator Barrasso, John",john-barrasso/B001261,John Barrasso,1952,Republican,current,"1,962"
"Representative Barrett, Bill",bill-barrett/B000179,Bill Barrett,1929,Republican,not current,887
"Representative Barrett, J. Gresham",j-barrett/B001239,J. Gresham Barrett,1961,Republican,not current,"1,064"
"Representative Barrett, Thomas M.",thomas-barrett/B000177,Thomas M. Barrett,1953,Democratic,not current,"1,734"
"Representative Barrett, William A.",william-barrett/B000178,William A. Barrett,1896,Democratic,not current,155
"Representative Barrow, John",john-barrow/B001252,John Barrow,1955,Democratic,not current,"1,302"
"Senator Bartlett, Dewey F.",dewey-bartlett/B000200,Dewey F. Bartlett,1919,Republican,not current,453
"Representative Bartlett, Roscoe G.",roscoe-bartlett/B000208,Roscoe G. Bartlett,1926,Republican,not current,"3,576"
"Representative Bartlett, Steve",steve-bartlett/B000204,Steve Bartlett,1947,Republican,not current,886
"Representative Barton, Joe",joe-barton/B000213,Joe Barton,1949,Republican,not current,"3,031"
"Representative Bass, Charles F.",charles-bass/B000220,Charles F. Bass,1952,Republican,not current,990
"Representative Bass, Karen",karen-bass/B001270,Karen Bass,1953,Democratic,current,"2,099"
"Representative Bateman, Herbert H.",herbert-bateman/B000229,Herbert H. Bateman,1928,Republican,not current,"2,379"
"Representative Bates, Jim",jim-bates/B000236,Jim Bates,1941,Democratic,not current,"2,177"
"Senator Baucus, Max",max-baucus/B000243,Max Baucus,1941,Democratic,not current,"6,771"
"Representative Bauman, Robert E.",robert-bauman/B000244,Robert E. Bauman,1937,Republican,not current,495
"Senator Bayh, Birch",birch-bayh/B000254,Birch Bayh,1928,Democratic,not current,925
"Senator Bayh, Evan",evan-bayh/B001233,Evan Bayh,1955,Democratic,not current,"1,831"
"Senator Beall, J. Glenn, Jr.",john-beall/B000272,J. Glenn Beall Jr.,1927,Republican,not current,472
"Representative Bean, Melissa L.",melissa-bean/B001253,Melissa L. Bean,1962,Democratic,not current,604
"Representative Beard, Edward",edward-beard/B000279,Edward Beard,1940,Democratic,not current,886
"Representative Beard, Robin",robin-beard/B000280,Robin Beard,1939,Republican,not current,769
"Representative Beatty, Joyce",joyce-beatty/B001281,Joyce Beatty,1950,Democratic,current,"2,125"
"Representative Beauprez, Bob",bob-beauprez/B001240,Bob Beauprez,1948,Republican,not current,506
"Representative Becerra, Xavier",xavier-becerra/B000287,Xavier Becerra,1958,Democratic,not current,"2,088"
"Representative Bedell, Berkley W.",berkley-bedell/B000298,Berkley W. Bedell,1921,Democratic,not current,"3,108"
"Senator Begich, Mark",mark-begich/B001265,Mark Begich,1962,Democratic,not current,"1,876"
"Representative Beilenson, Anthony C.",anthony-beilenson/B000318,Anthony C. Beilenson,1932,Democratic,not current,"2,660"
"Representative Bell, Alphonzo",alphonzo-bell/B000330,Alphonzo Bell,1914,Republican,not current,517
"Representative Bell, Chris",chris-bell/B001241,Chris Bell,1959,Democratic,not current,366
"Senator Bellmon, Henry L.",henry-bellmon/B000351,Henry L. Bellmon,1921,Republican,not current,509
"Representative Benedict, Cleve",cleve-benedict/B000358,Cleve Benedict,1935,Republican,not current,192
"Representative Benishek, Dan",dan-benishek/B001271,Dan Benishek,1952,Republican,not current,843
