name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Corman, James C.",james-corman/C000780,James C. Corman,1920,Democratic,not current,"1,252"
"Representative Cornell, Robert J.",robert-cornell/C000782,Robert J. Cornell,1919,Democratic,not current,435
"Representative Cornwell, David L.",david-cornwell/C000787,David L. Cornwell,1945,Democratic,not current,222
"Senator Cornyn, John",john-cornyn/C001056,John Cornyn,1952,Republican,current,"3,793"
"Representative Corrada, Baltasar",baltasar-corrada/C000788,Commissioner Baltasar Corrada,1935,Independent,not current,"1,752"
"Representative Correa, J. Luis",j-correa/C001110,J. Luis Correa,1958,Democratic,current,850
"Senator Cortez Masto, Catherine ",catherine-cortez-masto/C001113,Catherine Cortez Masto,1964,Democratic,current,"1,083"
"Senator Corzine, Jon S.",jon-corzine/C001042,Jon S. Corzine,1947,Democratic,not current,"1,762"
"Representative Costa, Jim",jim-costa/C001059,Jim Costa,1952,Democratic,current,"2,428"
"Representative Costello, Jerry F.",jerry-costello/C000794,Jerry F. Costello,1949,Democratic,not current,"3,321"
"Representative Costello, Ryan A.",ryan-costello/C001106,Ryan A. Costello,1976,Republican,not current,721
"Representative Cotter, William R.",william-cotter/C000799,William R. Cotter,1926,Democratic,not current,569
"Senator Cotton, Norris",norris-cotton/C000802,Norris Cotton,1900,Republican,not current,115
"Senator Cotton, Tom",tom-cotton/C001095,Tom Cotton,1977,Republican,current,"1,361"
"Representative Coughlin, Lawrence",r-coughlin/C000807,Lawrence Coughlin,1929,Republican,not current,"1,906"
"Representative Courter, Jim",james-courter/C000809,Jim Courter,1941,Republican,not current,"1,751"
"Representative Courtney, Joe",joe-courtney/C001069,Joe Courtney,1953,Democratic,current,"3,022"
"Senator Coverdell, Paul",paul-coverdell/C000813,Paul Coverdell,1939,Republican,not current,"1,061"
"Senator Cowan, William M.",william-mo-cowan/C001099,William M. Cowan,1969,Democratic,not current,89
"Representative Cox, Christopher",christopher-cox/C000830,Christopher Cox,1952,Republican,not current,"2,170"
"Representative Cox, John W., Jr.",john-cox/C000836,John W. Cox Jr.,1947,Democratic,not current,181
"Representative Cox, TJ",tj-cox/C001124,TJ Cox,1963,Democratic,current,634
"Representative Coyne, James K.",james-coyne/C000845,James K. Coyne,1946,Republican,not current,392
"Representative Coyne, William J.",william-coyne/C000846,William J. Coyne,1936,Democratic,not current,"2,721"
"Representative Craig, Angie",angie-craig/C001119,Angie Craig,1972,Democratic,current,570
"Senator Craig, Larry E.",larry-craig/C000858,Larry E. Craig,1945,Republican,not current,"4,268"
"Senator Cramer, Kevin",kevin-cramer/C001096,Kevin Cramer,1961,Republican,current,"1,810"
"Representative Cramer, Robert E. (Bud), Jr.",robert-cramer/C000868,Robert E. (Bud) Cramer Jr.,1947,Democratic,not current,"2,038"
"Representative Crane, Daniel B.",daniel-crane/C000871,Daniel B. Crane,1936,Republican,not current,603
"Representative Crane, Philip M.",philip-crane/C000873,Philip M. Crane,1930,Republican,not current,"3,553"
"Senator Cranston, Alan",alan-cranston/C000877,Alan Cranston,1914,Democratic,not current,"4,869"
"Senator Crapo, Mike",michael-crapo/C000880,Mike Crapo,1951,Republican,current,"3,819"
"Representative Cravaack, Chip",chip-cravaack/C001086,Chip Cravaack,1959,Republican,not current,190
"Representative Crawford, Eric A. ""Rick""",eric-crawford/C001087,"Eric A. ""Rick"" Crawford",1966,Republican,current,"1,054"
"Representative Cremeans, Frank A.",frank-cremeans/C000903,Frank A. Cremeans,1943,Republican,not current,123
"Representative Crenshaw, Ander",ander-crenshaw/C001045,Ander Crenshaw,1944,Republican,not current,"1,205"
"Representative Crenshaw, Dan",dan-crenshaw/C001120,Dan Crenshaw,1984,Republican,current,299
"Representative Crist, Charlie",charlie-crist/C001111,Charlie Crist,1956,Democratic,current,850
"Representative Critz, Mark S.",mark-critz/C001081,Mark S. Critz,1962,Democratic,not current,362
"Representative Crockett, George W., Jr.",george-crockett/C000919,George W. Crockett Jr.,1909,Democratic,not current,"2,857"
"Representative Cronin, Paul W.",paul-cronin/C000925,Paul W. Cronin,1938,Republican,not current,265
"Representative Crow, Jason",jason-crow/C001121,Jason Crow,1979,Democratic,current,461
"Representative Crowley, Joseph",joseph-crowley/C001038,Joseph Crowley,1962,Democratic,not current,"4,231"
"Senator Cruz, Ted",ted-cruz/C001098,Ted Cruz,1970,Republican,current,"1,449"
"Representative Cubin, Barbara",barbara-cubin/C000962,Barbara Cubin,1946,Republican,not current,"1,470"
"Representative Cuellar, Henry",henry-cuellar/C001063,Henry Cuellar,1955,Democratic,current,"1,870"
"Representative Culberson, John Abney",john-culberson/C001048,John Abney Culberson,1956,Republican,not current,"1,901"
"Senator Culver, John C.",john-culver/C000979,John C. Culver,1932,Democratic,not current,424
"Representative Cummings, Elijah E.",elijah-cummings/C000984,Elijah E. Cummings,1951,Democratic,not current,"5,278"
"Representative Cunningham, Joe",joe-cunningham/C001122,Joe Cunningham,1982,Democratic,current,246
"Representative Cunningham, John E. (Jack)",john-cunningham/C000992,John E. (Jack) Cunningham,1931,Republican,not current,112
"Representative Cunningham, Randy (Duke)",randy-cunningham/C000994,Randy (Duke) Cunningham,1941,Republican,not current,"2,165"
"Representative Curbelo, Carlos",carlos-curbelo/C001107,Carlos Curbelo,1980,Republican,not current,753
"Representative Curson, David Alan",david-curson/C001089,David Alan Curson,1948,Democratic,not current,6
"Senator Curtis, Carl T.",carl-curtis/C001006,Carl T. Curtis,1905,Republican,not current,458
"Representative Curtis, John R.",john-curtis/C001114,John R. Curtis,1960,Republican,current,375
"Senator D'Amato, Alfonse",alfonse-d-amato/D000018,Alfonse D'Amato,1937,Republican,not current,"4,761"
"Representative D'Amours, Norman E.",norman-d-amours/D000017,Norman E. D'Amours,1937,Democratic,not current,"1,351"
"Representative Dahlkemper, Kathleen A.",kathleen-dahlkemper/D000608,Kathleen A. Dahlkemper,1957,Democratic,not current,318
"Senator Daines, Steve",steve-daines/D000618,Steve Daines,1962,Republican,current,"1,464"
"Senator Danforth, John C.",john-danforth/D000030,John C. Danforth,1936,Republican,not current,"2,614"
"Representative Daniel, Robert W., Jr.",robert-daniel/D000037,Robert W. Daniel Jr.,1936,Republican,not current,649
"Representative Daniel, W. C. (Dan)",w-daniel/D000038,W. C. (Dan) Daniel,1914,Democratic,not current,"1,657"
"Representative Daniels, Dominick V.",dominick-daniels/D000041,Dominick V. Daniels,1908,Democratic,not current,536
"Representative Danielson, George E.",george-danielson/D000043,George E. Danielson,1915,Democratic,not current,828
"Representative Dannemeyer, William E.",william-dannemeyer/D000044,William E. Dannemeyer,1929,Republican,not current,"2,228"
"Representative Danner, Pat",pat-danner/D000046,Pat Danner,1934,Democratic,not current,947
"Representative Darden, George (Buddy)",george-darden/D000051,George (Buddy) Darden,1943,Democratic,not current,"1,757"
"Senator Daschle, Thomas A.",thomas-daschle/D000064,Thomas A. Daschle,1947,Democratic,not current,"5,611"
"Representative Daub, Hal",hal-daub/D000065,Hal Daub,1941,Republican,not current,"1,987"
"Representative Davids, Sharice",sharice-davids/D000629,Sharice Davids,1980,Democratic,current,323
"Representative Davidson, Warren",warren-davidson/D000626,Warren Davidson,1970,Republican,current,301
"Representative Davis, Artur",artur-davis/D000602,Artur Davis,1967,Democratic,not current,"1,070"
"Representative Davis, Danny K.",danny-davis/D000096,Danny K. Davis,1941,Democratic,current,"6,147"
"Representative Davis, David",david-davis/D000606,David Davis,1959,Republican,not current,406
"Representative Davis, Geoff",geoff-davis/D000603,Geoff Davis,1958,Republican,not current,976
"Representative Davis, Glenn R.",glenn-davis/D000102,Glenn R. Davis,1914,Republican,not current,26
"Representative Davis, Jack",jack-davis/D000106,Jack Davis,1935,Republican,not current,527
"Representative Davis, Jim",jim-davis/D000114,Jim Davis,1957,Democratic,not current,905
"Representative Davis, Jo Ann",jo-ann-davis/D000597,Jo Ann Davis,1950,Republican,not current,"1,337"
"Representative Davis, John W.",john-davis/D000122,John W. Davis,1916,Democratic,not current,211
"Representative Davis, Lincoln",lincoln-davis/D000599,Lincoln Davis,1943,Democratic,not current,"1,074"
"Representative Davis, Mendel J.",mendel-davis/D000125,Mendel J. Davis,1942,Democratic,not current,639
"Representative Davis, Robert W.",robert-davis/D000131,Robert W. Davis,1932,Republican,not current,"1,950"
"Representative Davis, Rodney",rodney-davis/D000619,Rodney Davis,1970,Republican,current,"1,531"
"Representative Davis, Susan A.",susan-davis/D000598,Susan A. Davis,1944,Democratic,current,"3,735"
"Representative Davis, Tom",thomas-davis/D000136,Tom Davis,1949,Republican,not current,"1,847"
"Senator Dayton, Mark",mark-dayton/D000596,Mark Dayton,1947,Democratic,not current,"1,326"
"Representative de la Garza, E.",e-de-la-garza/D000203,E. de la Garza,1927,Democratic,not current,"2,710"
"Representative de Lugo, Ron",ron-de-lugo/D000209,Ron de Lugo,1930,Democratic,not current,"3,606"
"Representative Deal, Nathan",nathan-deal/D000168,Nathan Deal,1942,History,not current,"1,796"
"Representative Dean, Madeleine",madeleine-dean/D000631,Madeleine Dean,1959,Democratic,current,582
"Representative Deckard, Joel",h-deckard/D000183,Joel Deckard,1942,Republican,not current,131
"Senator DeConcini, Dennis",dennis-deconcini/D000185,Dennis DeConcini,1937,Democratic,not current,"4,835"
"Representative DeFazio, Peter A.",peter-defazio/D000191,Peter A. DeFazio,1947,Democratic,current,"8,235"
"Representative DeGette, Diana",diana-degette/D000197,Diana DeGette,1957,Democratic,current,"3,585"
"Representative Delahunt, Bill",bill-delahunt/D000210,Bill Delahunt,1941,Democratic,not current,"2,678"
"Representative Delaney, James J.",james-delaney/D000211,James J. Delaney,1901,Democratic,not current,323
"Representative Delaney, John K.",john-delaney/D000620,John K. Delaney,1963,Democratic,not current,"1,068"
"Representative DeLauro, Rosa L.",rosa-delauro/D000216,Rosa L. DeLauro,1943,Democratic,current,"6,339"
"Representative DeLay, Tom",tom-delay/D000217,Tom DeLay,1947,Republican,not current,"2,128"
"Representative DelBene, Suzan K.",suzan-delbene/D000617,Suzan K. DelBene,1962,Democratic,current,"1,796"
"Representative Delgado, Antonio",antonio-delgado/D000630,Antonio Delgado,1977,Democratic,current,375
"Representative Dellenback, John",john-dellenback/D000220,John Dellenback,1918,Republican,not current,138
"Representative Dellums, Ronald V.",ronald-dellums/D000222,Ronald V. Dellums,1935,Democratic,not current,"5,956"
"Representative Demings, Val Butler",val-demings/D000627,Val Butler Demings,1957,Democratic,current,821
"Senator DeMint, Jim",james-demint/D000595,Jim DeMint,1951,Republican,not current,"2,032"
"Representative DeNardis, Lawrence J.",lawrence-denardis/D000231,Lawrence J. DeNardis,1938,Republican,not current,295
"Representative Denham, Jeff",jeff-denham/D000612,Jeff Denham,1967,Republican,not current,723
"Representative Denholm, Frank E.",frank-denholm/D000234,Frank E. Denholm,1923,Democratic,not current,192
"Representative Dennis, David W.",david-dennis/D000241,David W. Dennis,1912,Republican,not current,51
"Representative Dent, Charles W.",charles-dent/D000604,Charles W. Dent,1960,Republican,not current,"1,525"
"Representative Dent, John H.",john-dent/D000255,John H. Dent,1908,Democratic,not current,538
"Senator Denton, Jeremiah",jeremiah-denton/D000259,Jeremiah Denton,1924,Republican,not current,"1,024"
"Representative Derrick, Butler C.",butler-derrick/D000267,Butler C. Derrick,1936,Democratic,not current,"1,771"
"Representative Derwinski, Edward J.",edward-derwinski/D000269,Edward J. Derwinski,1926,Republican,not current,"1,451"
"Representative DeSantis, Ron",ron-desantis/D000621,Ron DeSantis,1978,Republican,not current,602
"Representative DeSaulnier, Mark",mark-desaulnier/D000623,Mark DeSaulnier,1952,Democratic,current,"1,960"
"Representative DesJarlais, Scott",scott-desjarlais/D000616,Scott DesJarlais,1964,Republican,current,"1,077"
"Representative Deutch, Theodore E.",theodore-deutch/D000610,Theodore E. Deutch,1966,Democratic,current,"2,302"
"Representative Deutsch, Peter",peter-deutsch/D000275,Peter Deutsch,1957,Democratic,not current,"1,818"
"Representative Devine, Samuel L.",samuel-devine/D000279,Samuel L. Devine,1915,Republican,not current,699
"Senator DeWine, Mike",michael-dewine/D000294,Mike DeWine,1947,Republican,not current,"4,041"
"Representative Diaz-Balart, Lincoln",lincoln-diaz-balart/D000299,Lincoln Diaz-Balart,1954,Republican,not current,"2,053"
"Representative Diaz-Balart, Mario",mario-diaz-balart/D000600,Mario Diaz-Balart,1961,Republican,current,"1,792"
"Representative Dickey, Jay",jay-dickey/D000312,Jay Dickey,1939,Republican,not current,844
"Representative Dickinson, William L.",william-dickinson/D000326,William L. Dickinson,1925,Republican,not current,"1,589"
"Representative Dicks, Norman D.",norman-dicks/D000327,Norman D. Dicks,1940,Democratic,not current,"3,419"
"Representative Diggs, Charles C., Jr.",charles-diggs/D000344,Charles C. Diggs Jr.,1922,Democratic,not current,941
"Representative Dingell, Debbie",debbie-dingell/D000624,Debbie Dingell,1953,Democratic,current,"1,596"
"Representative Dingell, John D.",john-dingell/D000355,John D. Dingell,1926,Democratic,not current,"3,988"
"Representative DioGuardi, Joseph J.",joseph-dioguardi/D000359,Joseph J. DioGuardi,1940,Republican,not current,"1,029"
"Senator Dixon, Alan J.",alan-dixon/D000366,Alan J. Dixon,1927,Democratic,not current,"2,633"
"Representative Dixon, Julian C.",julian-dixon/D000373,Julian C. Dixon,1934,History,not current,"3,335"
"Representative Djou, Charles K.",charles-djou/D000611,Charles K. Djou,1970,Republican,not current,86
"Senator Dodd, Christopher J.",christopher-dodd/D000388,Christopher J. Dodd,1944,Democratic,not current,"7,464"
"Representative Doggett, Lloyd",lloyd-doggett/D000399,Lloyd Doggett,1946,Democratic,current,"2,835"
"Representative Dold, Robert J.",robert-dold/D000613,Robert J. Dold,1969,Republican,not current,562
"Senator Dole, Elizabeth",elizabeth-dole/D000601,Elizabeth Dole,1936,Republican,not current,948
"Senator Dole, Robert J.",robert-dole/D000401,Robert J. Dole,1923,Republican,not current,"6,086"
"Senator Domenici, Pete V.",pete-domenici/D000407,Pete V. Domenici,1932,Republican,not current,"6,067"
"Senator Dominick, Peter H.",peter-dominick/D000409,Peter H. Dominick,1915,Republican,not current,224
"Representative Donnelly, Brian J.",brian-donnelly/D000416,Brian J. Donnelly,1946,Democratic,not current,"2,041"
"Senator Donnelly, Joe",joe-donnelly/D000607,Joe Donnelly,1955,Democratic,not current,"1,419"
"Representative Donohue, Harold D.",harold-donohue/D000419,Harold D. Donohue,1901,Democratic,not current,124
"Representative Donovan, Daniel M., Jr.",daniel-donovan/D000625,"Daniel M. Donovan, Jr.",1956,Republican,not current,613
"Representative Dooley, Calvin M.",cal-dooley/D000424,Calvin M. Dooley,1954,Democratic,not current,"1,306"
"Representative Doolittle, John T.",john-doolittle/D000429,John T. Doolittle,1950,Republican,not current,"2,989"
"Senator Dorgan, Byron L.",byron-dorgan/D000432,Byron L. Dorgan,1942,Democratic,not current,"5,204"
"Representative Dorn, William Jennings Bryan",william-dorn/D000434,William Jennings Bryan Dorn,1916,Democratic,not current,159
"Representative Dornan, Robert K.",robert-dornan/D000435,Robert K. Dornan,1933,Republican,not current,"4,692"
"Representative Dougherty, Charles F.",charles-dougherty/D000446,Charles F. Dougherty,1937,Republican,not current,823
"Representative Douglas, Chuck",chuck-douglas/D000451,Chuck Douglas,1942,Republican,not current,270
"Representative Dowdy, Wayne",wayne-dowdy/D000466,Wayne Dowdy,1943,Democratic,not current,"1,050"
"Representative Downey, Thomas J.",thomas-downey/D000471,Thomas J. Downey,1949,Democratic,not current,"3,692"
"Representative Downing, Thomas N.",thomas-downing/D000474,Thomas N. Downing,1919,Democratic,not current,314
"Representative Doyle, Michael F.",mike-doyle/D000482,Michael F. Doyle,1953,Democratic,current,"4,035"
"Representative Drake, Thelma D.",thelma-drake/D000605,Thelma D. Drake,1949,Republican,not current,695
"Representative Dreier, David",david-dreier/D000492,David Dreier,1952,Republican,not current,"2,815"
"Representative Driehaus, Steve",steve-driehaus/D000609,Steve Driehaus,1966,Democratic,not current,244
"Representative Drinan, Robert F.",robert-drinan/D000499,Robert F. Drinan,1920,Democratic,not current,"1,844"
"Representative du Pont, Pierre S., IV",pierre-du-pont/D000558,Pierre S. du Pont IV,1935,Republican,not current,261
"Senator Duckworth, Tammy",tammy-duckworth/D000622,Tammy Duckworth,1968,Democratic,current,"1,979"
"Representative Duffy, Sean P.",sean-duffy/D000614,Sean P. Duffy,1971,Republican,not current,835
"Representative Dulski, Thaddeus J.",thaddeus-dulski/D000523,Thaddeus J. Dulski,1915,Democratic,not current,225
"Representative Duncan, Jeff",jeff-duncan/D000615,Jeff Duncan,1966,Republican,current,"1,634"
"Representative Duncan, John J.",john-duncan/D000534,John J. Duncan,1919,Republican,not current,"2,675"
"Representative Duncan, John J., Jr.",john-duncan/D000533,"John J. Duncan, Jr.",1947,Republican,not current,"4,000"
"Representative Duncan, Robert B.",robert-duncan/D000537,Robert B. Duncan,1920,Democratic,not current,436
"Representative Dunn, Jennifer",jennifer-dunn/D000549,Jennifer Dunn,1941,Republican,not current,"1,337"
"Representative Dunn, Jim",jim-dunn/D000548,Jim Dunn,1943,Republican,not current,217
"Representative Dunn, Neal P.",neal-dunn/D000628,Neal P. Dunn,1953,Republican,current,421
"Senator Durbin, Richard J.",richard-durbin/D000563,Richard J. Durbin,1944,Democratic,current,10
"Senator Durenberger, Dave",david-durenberger/D000566,Dave Durenberger,1934,Republican,not current,"3,823"
"Senator Durkin, John A.",john-durkin/D000574,John A. Durkin,1936,Democratic,not current,535
"Representative Dwyer, Bernard J.",bernard-dwyer/D000586,Bernard J. Dwyer,1921,Democratic,not current,"3,704"
"Representative Dymally, Mervyn M.",mervyn-dymally/D000592,Mervyn M. Dymally,1926,Democratic,not current,"3,435"
"Representative Dyson, Roy",royden-dyson/D000593,Roy Dyson,1948,Democratic,not current,"1,929"
"Senator Eagleton, Thomas F.",thomas-eagleton/E000004,Thomas F. Eagleton,1929,Democratic,not current,"1,366"
"Representative Early, Joseph D.",joseph-early/E000013,Joseph D. Early,1933,Democratic,not current,656
"Senator East, John P.",john-east/E000017,John P. East,1931,Republican,not current,758
"Senator Eastland, James O.",james-eastland/E000018,James O. Eastland,1904,Democratic,not current,395
"Representative Eckart, Dennis E.",dennis-eckart/E000031,Dennis E. Eckart,1950,Democratic,not current,"2,371"
"Representative Eckert, Fred J.",fred-eckert/E000033,Fred J. Eckert,1941,Republican,not current,136
"Representative Eckhardt, Bob",bob-eckhardt/E000035,Bob Eckhardt,1913,Democratic,not current,490
"Representative Edgar, Robert W.",robert-edgar/E000043,Robert W. Edgar,1943,Democratic,not current,"3,318"
"Representative Edwards, Chet",chet-edwards/E000063,Chet Edwards,1951,Democratic,not current,"1,485"
"Representative Edwards, Don",don-edwards/E000064,Don Edwards,1915,Democratic,not current,"4,288"
"Representative Edwards, Donna F.",donna-edwards/E000290,Donna F. Edwards,1958,Democratic,not current,"1,493"
"Representative Edwards, Jack",jack-edwards/E000084,Jack Edwards,1928,Republican,not current,708
"Senator Edwards, John",john-edwards/E000286,John Edwards,1953,Democratic,not current,805
"Representative Edwards, Mickey",mickey-edwards/E000077,Mickey Edwards,1937,Republican,not current,"2,109"
"Representative Ehlers, Vernon J.",vernon-ehlers/E000092,Vernon J. Ehlers,1934,Republican,not current,"2,197"
"Representative Ehrlich, Robert L., Jr.",robert-ehrlich/E000093,Robert L. Ehrlich Jr.,1957,Republican,not current,767
"Representative Eilberg, Joshua",joshua-eilberg/E000096,Joshua Eilberg,1921,Democratic,not current,"1,672"
"Representative Ellison, Keith",keith-ellison/E000288,Keith Ellison,1963,Democratic,not current,"3,968"
"Representative Ellmers, Renee L.",renee-ellmers/E000291,Renee L. Ellmers,1964,Republican,not current,861
"Representative Ellsworth, Brad",brad-ellsworth/E000289,Brad Ellsworth,1958,Democratic,not current,581
"Representative Emanuel, Rahm",rahm-emanuel/E000287,Rahm Emanuel,1959,Democratic,not current,"1,277"
"Representative Emerson, Bill",bill-emerson/E000174,Bill Emerson,1938,Republican,not current,"3,600"
"Representative Emerson, Jo Ann",jo-emerson/E000172,Jo Ann Emerson,1950,Republican,not current,"2,316"
"Representative Emery, David F.",david-emery/E000175,David F. Emery,1948,Republican,not current,833
"Representative Emmer, Tom",tom-emmer/E000294,Tom Emmer,1961,Republican,current,749
"Representative Engel, Eliot L.",eliot-engel/E000179,Eliot L. Engel,1947,Democratic,current,"7,761"
"Representative English, Glenn",glenn-english/E000184,Glenn English,1940,Democratic,not current,"1,836"
"Representative English, Karan",karan-english/E000186,Karan English,1949,Democratic,not current,135
"Representative English, Phil",phil-english/E000187,Phil English,1956,Republican,not current,"4,132"
"Senator Ensign, John",john-ensign/E000194,John Ensign,1958,Republican,not current,"2,178"
"Representative Enyart, William L.",william-enyart/E000292,William L. Enyart,1949,Democratic,not current,496
"Senator Enzi, Michael B.",michael-enzi/E000285,Michael B. Enzi,1944,Republican,current,"3,471"
"Representative Erdahl, Arlen",arlen-erdahl/E000198,Arlen Erdahl,1931,Republican,not current,590
"Representative Erdreich, Ben",ben-erdreich/E000201,Ben Erdreich,1938,Democratic,not current,"1,575"
"Representative Erlenborn, John N.",john-erlenborn/E000204,John N. Erlenborn,1927,Republican,not current,610
"Senator Ernst, Joni ",joni-ernst/E000295,Joni Ernst,1970,Republican,current,"1,074"
"Representative Ertel, Allen E.",allen-ertel/E000208,Allen E. Ertel,1937,Democratic,not current,836
"Senator Ervin, Sam J., Jr.",samuel-ervin/E000211,Sam J. Ervin Jr.,1896,Democratic,not current,174
"Representative Esch, Marvin L.",marvin-esch/E000213,Marvin L. Esch,1927,Republican,not current,439
"Representative Escobar, Veronica",veronica-escobar/E000299,Veronica Escobar,1969,Democratic,current,505
"Representative Eshleman, Edwin D.",edwin-eshleman/E000214,Edwin D. Eshleman,1920,Republican,not current,245
"Representative Eshoo, Anna G.",anna-eshoo/E000215,Anna G. Eshoo,1942,Democratic,current,"5,540"
"Representative Espaillat, Adriano",adriano-espaillat/E000297,Adriano Espaillat,1954,Democratic,current,"1,402"
"Representative Espy, Mike",mike-espy/E000218,Mike Espy,1953,Democratic,not current,"1,773"
"Representative Estes, Ron",ron-estes/E000298,Ron Estes,1956,Republican,current,284
"Representative Esty, Elizabeth H.",elizabeth-esty/E000293,Elizabeth H. Esty,1959,Democratic,not current,"1,222"
"Representative Etheridge, Bob",bob-etheridge/E000226,Bob Etheridge,1941,Democratic,not current,"1,868"
"Representative Evans, Billy Lee",billy-evans/E000233,Billy Lee Evans,1941,Democratic,not current,849
"Representative Evans, Cooper",cooper-evans/E000259,Cooper Evans,1924,Republican,not current,755
"Senator Evans, Daniel J.",daniel-evans/E000236,Daniel J. Evans,1925,Republican,not current,633
"Representative Evans, David W.",david-evans/E000239,David W. Evans,1946,Democratic,not current,331
"Representative Evans, Dwight",dwight-evans/E000296,Dwight Evans,1954,Democratic,current,"1,178"
"Representative Evans, Frank E.",frank-evans/E000240,Frank E. Evans,1923,Democratic,not current,187
"Representative Evans, Lane",lane-evans/E000250,Lane Evans,1951,Democratic,not current,"7,083"
"Representative Evans, Melvin H.",melvin-evans/E000254,Melvin H. Evans,1917,Republican,not current,258
"Representative Evans, Thomas B., Jr.",thomas-evans/E000258,Thomas B. Evans Jr.,1931,Republican,not current,526
"Representative Everett, Terry",terry-everett/E000268,Terry Everett,1937,Republican,not current,"1,042"
"Representative Evins, Joe L.",joseph-evins/E000273,Joe L. Evins,1910,Democratic,not current,131
"Representative Ewing, Thomas W.",thomas-ewing/E000282,Thomas W. Ewing,1935,Republican,not current,"1,110"
"Senator Exon, J. James",john-exon/E000284,J. James Exon,1921,Democratic,not current,"2,558"
"Senator Faircloth, Lauch",duncan-faircloth/F000437,Lauch Faircloth,1928,Republican,not current,871
"Representative Faleomavaega, Eni F. H.",eni-faleomavaega/F000010,Eni F. H. Faleomavaega,1943,Democratic,not current,"3,730"
"Representative Fallin, Mary",mary-fallin/F000453,Mary Fallin,1954,Republican,not current,597
"Senator Fannin, Paul J.",paul-fannin/F000013,Paul J. Fannin,1907,Republican,not current,527
"Representative Farenthold, Blake",blake-farenthold/F000460,Blake Farenthold,1961,Republican,not current,"1,286"
"Representative Farr, Sam",sam-farr/F000030,Sam Farr,1941,Democratic,not current,"4,847"
"Representative Fary, John G.",john-fary/F000040,John G. Fary,1911,Democratic,not current,505
"Representative Fascell, Dante B.",dante-fascell/F000041,Dante B. Fascell,1917,Democratic,not current,"3,352"
"Representative Faso, John J.",john-faso/F000464,John J. Faso,1952,Republican,not current,367
"Representative Fattah, Chaka",chaka-fattah/F000043,Chaka Fattah,1956,Democratic,not current,"3,572"
"Representative Fauntroy, Walter E.",walter-fauntroy/F000046,Walter E. Fauntroy,1933,Democratic,not current,"4,672"
"Representative Fawell, Harris W.",harris-fawell/F000049,Harris W. Fawell,1929,Republican,not current,"2,053"
"Representative Fazio, Vic",vic-fazio/F000053,Vic Fazio,1942,Democratic,not current,"5,951"
"Representative Feeney, Tom",tom-feeney/F000447,Tom Feeney,1958,Republican,not current,"1,008"
"Representative Feighan, Edward F.",edward-feighan/F000059,Edward F. Feighan,1947,Democratic,not current,"2,496"
"Senator Feingold, Russell D.",russell-feingold/F000061,Russell D. Feingold,1953,Democratic,not current,"3,829"
"Senator Feinstein, Dianne",dianne-feinstein/F000062,Dianne Feinstein,1933,Democratic,current,"7,685"
"Representative Fenwick, Millicent H.",millicent-fenwick/F000078,Millicent H. Fenwick,1910,Republican,not current,"1,370"
"Representative Ferguson, A. Drew, IV",a-ferguson/F000465,A. Drew Ferguson IV,1966,Republican,current,364
"Representative Ferguson, Mike",mike-ferguson/F000443,Mike Ferguson,1970,Republican,not current,842
"Representative Ferraro, Geraldine A.",geraldine-ferraro/F000088,Geraldine A. Ferraro,1935,Democratic,not current,996
"Representative Fiedler, Bobbi",bobbi-fiedler/F000102,Bobbi Fiedler,1937,Republican,not current,475
"Representative Fields, Cleo",cleo-fields/F000110,Cleo Fields,1962,Democratic,not current,241
"Representative Fields, Jack",jack-fields/F000111,Jack Fields,1952,Republican,not current,"1,893"
"Representative Filner, Bob",bob-filner/F000116,Bob Filner,1942,Democratic,not current,"7,358"
"Representative Fincher, Stephen Lee",stephen-fincher/F000458,Stephen Lee Fincher,1973,Republican,not current,602
"Representative Findley, Paul",paul-findley/F000123,Paul Findley,1921,Republican,not current,954
"Representative Fingerhut, Eric D.",eric-fingerhut/F000128,Eric D. Fingerhut,1959,Democratic,not current,337
"Representative Finkenauer, Abby",abby-finkenauer/F000467,Abby Finkenauer,1988,Democratic,current,447
"Senator Fischer, Deb",deb-fischer/F000463,Deb Fischer,1951,Republican,current,"1,056"
"Representative Fish, Hamilton, Jr.",hamilton-fish/F000141,Hamilton Fish Jr.,1926,Republican,not current,"5,465"
"Representative Fisher, Joesph L.",joseph-fisher/F000151,Joesph L. Fisher,1914,Democratic,not current,532
"Representative Fisher, O. C.",ovie-fisher/F000152,O. C. Fisher,1903,Democratic,not current,170
"Representative Fithian, Floyd J.",floyd-fithian/F000161,Floyd J. Fithian,1928,Democratic,not current,812
"Senator Fitzgerald, Peter",peter-fitzgerald/F000442,Peter Fitzgerald,1960,Republican,not current,978
"Representative Fitzpatrick, Brian K.",brian-fitzpatrick/F000466,Brian K. Fitzpatrick,1973,Republican,current,"1,882"
"Representative Fitzpatrick, Michael G.",michael-fitzpatrick/F000451,Michael G. Fitzpatrick,1963,Republican,not current,"1,306"
"Representative Flake, Floyd H.",floyd-flake/F000184,Floyd H. Flake,1945,Democratic,not current,"1,378"
"Senator Flake, Jeff",jeff-flake/F000444,Jeff Flake,1962,Republican,not current,"2,359"
"Representative Flanagan, Michael Patrick",michael-flanagan/F000187,Michael Patrick Flanagan,1962,Republican,not current,150
"Representative Fleischmann, Charles J. ""Chuck""",charles-fleischmann/F000459,"Charles J. ""Chuck"" Fleischmann",1962,Republican,current,842
