state,club,city,club link
Georgia,Cobb County Gem and Mineral Society,Marietta,https://www.ccgms.org/
Georgia,"Georgia Mineral Society, Inc.",Norcross,http://www.gamineral.org/
Georgia,Mid-Georgia Gem and Mineral Society,Macon,http://midgagmsorg.ipage.com/
Georgia,Rome Georgia Mineral Society Inc.,Rome,https://rogams.wordpress.com/
Hawaii,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Honolulu,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
Idaho,"Hells Canyon Gem Club, Inc.",Lewiston,http://www.hellscanyongemclub.com/
Idaho,Idaho Falls Gem & Mineral Society,Idaho Falls,http://ifgemmineral.weebly.com/
Idaho,"Idaho Gem Club, Inc.",Boise,http://www.idahogemclub.com/
Idaho,Magic Valley Gem Club,Twin Falls,http://magicvalleygemclub.org/
Idaho,North Idaho Mineral Club,Coeur d'Alene,http://www.northidahomineralclub.com/
Idaho,Owyhee Gem & Mineral Society,Caldwell,http://www.owyheerocks.com/
Idaho,Pend Oreille Rock and Gem Club,Oldtown,https://pendoreillerockandgemclub.wordpress.com/
Idaho,Southeast Idaho Gem and Mineral Society,Boise,https://www.facebook.com/SEIGMS
Illinois,Black Hawk Gem & Mineral Club,Rock Island,http://www.blackhawkgemandmineralclub.com/
Illinois,Central Illinois Gem & Mineral Club,Decatur,http://rmkapta.wixsite.com/cigmc
Illinois,Chicago Rocks & Minerals Society,Skokie,http://www.chicagorocks.org/
Illinois,Elgin Rock Club,Elgin,http://elginrockclub.org/
Illinois,"Geodeland Earth Science Clubs, Inc.",Macomb,http://www.geodeland.com/
Illinois,Lincoln Orbit Earth Science Society,Springfield,http://www.loess.org/
Illinois,Midwest Historical Research Society,Chicago,http://www.mhrsusa.com/
Illinois,Northwest Illinois Rock Club,Freeport,http://nwilrockclubfrpt.blogspot.com/
Illinois,Peoria Academy of Science Geology Section,Peoria,http://www.pasgeology.com/
Illinois,Southern Illinois Earth Science Club,Benton,http://www.siesclub.org/
Illinois,West Central Illinois Rock & Mineral Club,Macomb,http://www.rockchatter.com/
Illinois,West Suburban Lapidary Club,Elmhurst,http://www.westsuburbanlapidaryclub.com/
Indiana,500 Earth Sciences Club,Indianapolis,http://www.500earthsciencesclub.org/
Indiana,Brown County Rock and Mineral Club,Nashville,http://browncountyrock.webs.com/
Indiana,Calumet Gem & Mineral Society,Crown Point,https://www.facebook.com/calumetrockclub
Indiana,Evansville Lapidary Society,Evansville,http://evansvillelapidarysociety.tumblr.com/
Indiana,"Eastern Indiana Gem & Geological Society, Inc.",Richmond,http://eiggs.weebly.com/
Indiana,"Lawrence County Rock Club, Inc",Bedford,http://www.lawrencecountyrockclub.org/
Indiana,"Michiana Gem & Mineral Society, Inc.",South Bend,http://www.michianagms.org/
Indiana,Three Rivers Gem & Mineral Society,Fort Wayne,http://3riversgem_mineral.tripod.com/
Iowa,Cedar Valley Rocks and Minerals Society,Cedar Rapids,http://www.cedarvalleyrockclub.org/
Iowa,Des Moines Lapidary Society,Des Moines,http://dmlapidary.org/
Iowa,Geology Club @ Cornell College,Mount Vernon,http://orgs.cornellcollege.edu/geo_club/
Iowa,Iowa State University Geology Club,Ames,https://www.facebook.com/ISUGEOCLUB/
Iowa,River Valley Rockhounds,Fort Dodge,http://amfed.org/mwf/states/Iowa/RiverValley.html
Iowa,The Sac & Fox Lapidary Club,Fairfield,http://members.iowatelecom.net/billrath/rock_club.html
Kansas,McPherson Gem and Mineral Club,McPherson,https://mcphersongemandmineralclub.org/
Kansas,Olathe Gem and Mineral Society,Kansas City,http://olathegemclub.com/
Kansas,Topeka Gem & Mineral Society,Topeka,http://www.topekagms.org/
Kansas,Wichita Gem and Mineral Society,Wichita,http://www.wgmsks.org/
Kansas,Wichita Paleontological Society,Wichita,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Kentucky,Blue Grass Gem & Mineral Club of Central Kentucky,Lexington,http://bggamc.homestead.com/
Kentucky,KYANA Geological Society,Louisville,http://www.kyanageo.org/
